fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,11,AUGUST,200002,06160474,16 
2015,11,AUGUST,200311,02115018,"9,477 "
2015,10,JULY,200002,06160169,36 
2015,10,JULY,200353,04146032,500 
2015,10,JULY,200362,80807365,"51,084 "
2015,10,JULY,200373,06161608,217 
2015,10,JULY,200515,79BL1450,80 
2015,10,JULY,201160,07168180,500 
2015,10,JULY,403545,06150100,"1,944 "
2015,10,JULY,501084,06182018,392 
2015,10,JULY,616284,04130040,767 
2015,10,JULY,751650,04120059,585 
2015,10,JULY,751650,04126005,"1,280 "
2015,11,AUGUST,000002810,06140209,24 
2015,11,AUGUST,000074425,06159193,20 
2015,11,AUGUST,000074425,06159194,250 
2015,11,AUGUST,000192801,06110029,42 
2015,11,AUGUST,000195736,05110007,907 
2015,11,AUGUST,000364514,79BL8880,64 
2015,11,AUGUST,000402059,06161602,205 
2015,11,AUGUST,000418043,70115464,120 
2015,11,AUGUST,000454231,05173064,90 
2015,11,AUGUST,016677,09150580,64 
2015,11,AUGUST,023447,04146020,200 
2015,11,AUGUST,042948,06140131,88 
2015,11,AUGUST,076005,10140028,104 
2015,11,AUGUST,187101,04130094,68 
2015,11,AUGUST,200587,06140035,40 
2015,11,AUGUST,201129,07161200,720 
2015,11,AUGUST,505049,05172013,296 
2015,11,AUGUST,000195736,05110010,626 
2015,11,AUGUST,000277875,70116501,"1,296 "
2015,11,AUGUST,000287501,04116015,414 
2015,11,AUGUST,000358316,02127010,"15,000 "
2015,11,AUGUST,000364514,79NR7077,200 
2015,11,AUGUST,000418043,70128464,672 
2015,11,AUGUST,000418043,74745234,672 
2015,11,AUGUST,000422837,06140215,105 
2015,11,AUGUST,200515,79BL1450,60 
2015,11,AUGUST,201089,06160075,910 
2015,11,AUGUST,201144,07161149,360 
2015,11,AUGUST,501084,06166198,18 
2015,12,SEPTEMBER,000016204,05176008,420 
2015,12,SEPTEMBER,000074425,06159183,10 
2015,12,SEPTEMBER,000382353,01116000,148 
2015,12,SEPTEMBER,000418043,78780083,486 
2015,12,SEPTEMBER,000418043,80800028,96 
2015,12,SEPTEMBER,000449855,06180007,112 
2015,12,SEPTEMBER,000454231,05173051,410 
2015,12,SEPTEMBER,010913,06160465,111 
2015,12,SEPTEMBER,017911,74740683,264 
2015,12,SEPTEMBER,030589,06120017,16 
2015,12,SEPTEMBER,058829,06110210,5 
2015,12,SEPTEMBER,187101,04130010,96 
2015,12,SEPTEMBER,187101,04130096,17 
2015,12,SEPTEMBER,200002,04130014,60 
2015,12,SEPTEMBER,200002,06160180,60 
2015,12,SEPTEMBER,200362,06160339,216 
2015,12,SEPTEMBER,200400,04124005,600 
2015,12,SEPTEMBER,200515,79NR0456,50 
2015,12,SEPTEMBER,200515,79NR1476,50 
2015,12,SEPTEMBER,200728,06164432,224 
2015,12,SEPTEMBER,201089,06160076,252 
2015,12,SEPTEMBER,201129,07160306,540 
2015,12,SEPTEMBER,501084,06166006,160 
2015,12,SEPTEMBER,751650,04125040,220 
2015,12,SEPTEMBER,000002810,06167065,331 
2015,12,SEPTEMBER,000016204,05174010,"8,060 "
2015,12,SEPTEMBER,000074425,06150113,100 
2015,12,SEPTEMBER,000074425,06159186,100 
2015,12,SEPTEMBER,000210764,05130007,298 
2015,12,SEPTEMBER,000224938,80807156,77 
2015,12,SEPTEMBER,000277875,70113614,336 
2015,9,JUNE,751650,04120064,30 
2015,9,JUNE,751650,04125040,600 
2015,10,JULY,000074425,06159182,50 
2015,10,JULY,000364514,79BL1080,24 
2015,10,JULY,000364514,79CN0065,100 
2015,10,JULY,000364514,79CN2025,100 
2015,10,JULY,000418043,75754553,528 
2015,10,JULY,000454231,05170010,30 
2015,10,JULY,000454231,05173051,140 
2015,10,JULY,000454231,05173060,25 
2015,10,JULY,017911,75750263,528 
2015,10,JULY,022350,07160111,600 
2015,10,JULY,022350,07161161,176 
2015,10,JULY,023088,06148030,48 
2015,10,JULY,200237,06168091,108 
2015,10,JULY,200311,02115001,"6,440 "
2015,10,JULY,200311,02115040,"3,360 "
2015,10,JULY,200633,07160231,32 
2015,10,JULY,292238,05150004,"4,400 "
2015,10,JULY,751650,04120005,45 
